,Theta,Rho,Temperature,Humidity
14:00:00,5.82939970166106,0.425,35.0,28
14:30:00,5.497787143782138,0.5,35.0,28
15:00:00,5.497787143782138,0.625,35.5,28
15:30:00,5.619960191421741,0.55,35.0,26
16:00:00,5.497787143782138,0.5,35.0,25
16:30:00,5.654866776461628,0.5,35.5,25
17:00:00,5.497787143782138,0.5,36.0,24
17:30:00,5.497787143782138,0.425,36.7,24
18:00:00,5.82939970166106,0.375,36.0,25
18:30:00,2.129301687433082,0.25,35.0,35
19:00:00,2.652900463031381,0.675,32.0,45
19:30:00,2.5132741228718345,0.8,30.0,48
20:00:00,2.443460952792061,0.65,28.0,48
20:30:00,2.5132741228718345,0.675,27.5,48
21:00:00,2.792526803190927,0.425,27.0,49
21:30:00,2.827433388230814,0.325,26.5,49
22:00:00,2.827433388230814,0.125,26.0,50
