Theta,Quadrant,Rho,m,Susceptibles,Infecteds,Deads
,,,,440.0,1.0,0.0
0.05880190477250912,1.0,0.49483762988529595,1.0,438.8818,2.1182,0.0
3.135672704578596,2.0,0.3395094745874561,1.0,437.749,2.251,1.0
0.712410734672431,1.0,0.6194293262450927,2.0,430.2506,8.6312,2.1182
0.3139960167544524,1.0,0.9775296384213658,3.0,413.4523,24.2967,3.251
4.306542925577691,3.0,0.09643307763795404,1.0,398.6961,31.5545,10.7494
3.0598362749844576,2.0,0.744206212254552,2.0,383.2578,30.1945,27.5477
5.6401466960725415,4.0,0.2924994740953247,1.0,366.7163,31.9798,42.3039
4.068061337996181,3.0,0.2986753509649212,1.0,348.263,34.9948,57.7422
5.635785514203071,4.0,0.7524734726896639,2.0,307.6283,59.088,74.2837
4.531024391421074,3.0,0.01866372770507497,1.0,280.1424,68.1206,92.737
5.223547598494299,4.0,0.5237374359849138,2.0,236.6927,70.9356,133.3717
5.199763530712482,4.0,0.8644358472002829,2.0,201.0301,79.1123,160.8576
5.237534994919747,4.0,0.38884284026391785,1.0,186.6987,49.994,204.3073
6.013286908156774,4.0,0.21219184946692968,1.0,181.7467,19.2834,239.9699
2.3124913989787577,2.0,0.4751807042608476,1.0,173.9846,12.7141,254.3013
